ORIGINAL FILENAME:
Qkl_131_chianti.ioneq_sun_coronal_1992_feldman_ext.abund.AIA-lastoptimizedWL-photons-Abund-1e-3-ALL-withCONTINUUM_Ne1E08_C71.extended.interpolated.out
Files used for ioneq and abundance:
chianti.ioneq
sun_coronal_1992_feldman_ext.abund
Ne, logEM:
  1.00000e+08      16.0000
Instr-fwhm, NTemp, w1, w2, w-bin, Nlambda
   0.00100000     535      85     100   0.00100000      15001.0
Renorm. Const for PHI:
     0.623323
       logTe[K]     Integral(d_lambda*Emissivity(lambda)*phi_peak1(lambda))/N_e^2    Sum/N_e^2
       6.9563064   4.4395739e-16      0.00000
       6.9606154   4.6564419e-16      0.00000
       6.9649245   4.8758055e-16      0.00000
       6.9692335   5.0972039e-16      0.00000
       6.9735426   5.3202032e-16      0.00000
       6.9778516   5.5435039e-16      0.00000
       6.9821607   5.7661396e-16      0.00000
       6.9864697   5.9872377e-16      0.00000
       6.9907788   6.2058621e-16      0.00000
       6.9950878   6.4190442e-16      0.00000
       6.9993969   6.6259411e-16      0.00000
       7.0037059   6.8256007e-16      0.00000
       7.0080149   7.0171760e-16      0.00000
       7.0123240   7.1996334e-16      0.00000
       7.0166330   7.3694342e-16      0.00000
       7.0209421   7.5286502e-16      0.00000
       7.0252511   7.6765867e-16      0.00000
       7.0295602   7.8125276e-16      0.00000
       7.0338692   7.9338547e-16      0.00000
       7.0381783   8.0377240e-16      0.00000
       7.0424873   8.1261871e-16      0.00000
       7.0467963   8.1983113e-16      0.00000
       7.0511054   8.2532204e-16      0.00000
       7.0554144   8.2860797e-16      0.00000
       7.0597235   8.2987374e-16      0.00000
       7.0640325   8.2942463e-16      0.00000
       7.0683416   8.2730202e-16      0.00000
       7.0726506   8.2354624e-16      0.00000
       7.0769597   8.1773454e-16      0.00000
       7.0812687   8.1031332e-16      0.00000
       7.0855777   8.0140512e-16      0.00000
       7.0898868   7.9104049e-16      0.00000
       7.0941958   7.7921000e-16      0.00000
       7.0985049   7.6553181e-16      0.00000
       7.1028139   7.5053490e-16      0.00000
       7.1071230   7.3434031e-16      0.00000
       7.1114320   7.1707704e-16      0.00000
       7.1157411   6.9880302e-16      0.00000
       7.1200501   6.7963304e-16      0.00000
       7.1243592   6.5989461e-16      0.00000
       7.1286682   6.3968371e-16      0.00000
       7.1329772   6.1909052e-16      0.00000
       7.1372863   5.9816582e-16      0.00000
       7.1415953   5.7704484e-16      0.00000
       7.1459044   5.5582816e-16      0.00000
       7.1502134   5.3457098e-16      0.00000
       7.1545225   5.1333053e-16      0.00000
       7.1588315   4.9226257e-16      0.00000
       7.1631406   4.7147832e-16      0.00000
       7.1674496   4.5103006e-16      0.00000
       7.1717586   4.3097308e-16      0.00000
       7.1760677   4.1135889e-16      0.00000
       7.1803767   3.9235083e-16      0.00000
       7.1846858   3.7391498e-16      0.00000
       7.1889948   3.5607629e-16      0.00000
       7.1933039   3.3887656e-16      0.00000
       7.1976129   3.2229748e-16      0.00000
       7.2019220   3.0633073e-16      0.00000
       7.2062310   2.9099691e-16      0.00000
       7.2105401   2.7630176e-16      0.00000
       7.2148491   2.6226246e-16      0.00000
       7.2191581   2.4886066e-16      0.00000
       7.2234672   2.3609796e-16      0.00000
       7.2277762   2.2396142e-16      0.00000
       7.2320853   2.1243071e-16      0.00000
       7.2363943   2.0151126e-16      0.00000
       7.2407034   1.9115017e-16      0.00000
       7.2450124   1.8132918e-16      0.00000
       7.2493215   1.7204188e-16      0.00000
       7.2536305   1.6325429e-16      0.00000
       7.2579395   1.5495378e-16      0.00000
       7.2622486   1.4711621e-16      0.00000
       7.2665576   1.3971933e-16      0.00000
       7.2708667   1.3274766e-16      0.00000
       7.2751757   1.2617915e-16      0.00000
       7.2794848   1.1999498e-16      0.00000
       7.2837938   1.1415890e-16      0.00000
       7.2881029   1.0867314e-16      0.00000
       7.2924119   1.0350422e-16      0.00000
       7.2967210   9.8638790e-17      0.00000
       7.3010300   9.4057938e-17      0.00000
